x,mx,Sexo,Anio
0,0.016930893,m,2010
1,0.000825735,m,2010
5,0.00038685,m,2010
10,0.000706101,m,2010
15,0.004594054,m,2010
20,0.008656794,m,2010
25,0.010769674,m,2010
30,0.011507236,m,2010
35,0.009547718,m,2010
40,0.009236068,m,2010
45,0.008892781,m,2010
50,0.010685093,m,2010
55,0.015013179,m,2010
60,0.019285416,m,2010
65,0.032266563,m,2010
70,0.042344112,m,2010
75,0.066454773,m,2010
80,0.098235395,m,2010
85,0.173705266,m,2010
0,0.018348884,m,2019
1,0.000728102,m,2019
5,0.000270746,m,2019
10,0.000417737,m,2019
15,0.002199781,m,2019
20,0.004533089,m,2019
25,0.004898433,m,2019
30,0.005297711,m,2019
35,0.005397029,m,2019
40,0.006480168,m,2019
45,0.007253896,m,2019
50,0.010214566,m,2019
55,0.013799061,m,2019
60,0.018879109,m,2019
65,0.026075897,m,2019
70,0.040379781,m,2019
75,0.058136561,m,2019
80,0.095983613,m,2019
85,0.162086928,m,2019
0,0.016888115,m,2021
1,0.000837415,m,2021
5,0.0003,m,2021
10,0.000523631,m,2021
15,0.002233479,m,2021
20,0.003779887,m,2021
25,0.004851415,m,2021
30,0.005408479,m,2021
35,0.005999929,m,2021
40,0.006649561,m,2021
45,0.008576928,m,2021
50,0.011590255,m,2021
55,0.015753852,m,2021
60,0.023955271,m,2021
65,0.033492811,m,2021
70,0.050711675,m,2021
75,0.066986615,m,2021
80,0.102522231,m,2021
85,0.17829632,m,2021
0,0.013343795,f,2010
1,0.00055903,f,2010
5,0.000241686,f,2010
10,0.000345684,f,2010
15,0.001167206,f,2010
20,0.001404159,f,2010
25,0.001536772,f,2010
30,0.001806767,f,2010
35,0.001637115,f,2010
40,0.002242601,f,2010
45,0.003376642,f,2010
50,0.005086348,f,2010
55,0.00847363,f,2010
60,0.013277092,f,2010
65,0.020489098,f,2010
70,0.032747978,f,2010
75,0.053055005,f,2010
80,0.084253764,f,2010
85,0.158375747,f,2010
0,0.014946068,f,2019
1,0.000706512,f,2019
5,0.000273219,f,2019
10,0.000310094,f,2019
15,0.000838565,f,2019
20,0.001138273,f,2019
25,0.001057788,f,2019
30,0.001224976,f,2019
35,0.001535674,f,2019
40,0.002393471,f,2019
45,0.002922426,f,2019
50,0.00471984,f,2019
55,0.007437079,f,2019
60,0.011454751,f,2019
65,0.017223235,f,2019
70,0.027384492,f,2019
75,0.04509859,f,2019
80,0.072159353,f,2019
85,0.147251653,f,2019
0,0.013829397,f,2021
1,0.000579064,f,2021
5,0.000239047,f,2021
10,0.000304187,f,2021
15,0.000736486,f,2021
20,0.001192875,f,2021
25,0.001232587,f,2021
30,0.001610874,f,2021
35,0.001992078,f,2021
40,0.002857074,f,2021
45,0.003993806,f,2021
50,0.005871326,f,2021
55,0.010154243,f,2021
60,0.015233052,f,2021
65,0.022509187,f,2021
70,0.033676175,f,2021
75,0.052685475,f,2021
80,0.084128244,f,2021
85,0.156902745,f,2021
