year,total,tipo,,
2008,13025,Hombres,,
2009,14023,Hombres,,
2010,16972,Hombres,,
2011,15153,Hombres,,
2012,13367,Hombres,,
2013,13193,Hombres,,
2014,12917,Hombres,,
2015,13021,Hombres,,
2016,13684,Hombres,,
2017,14195,Hombres,,
2018,15254,Hombres,,
2019,15880,Hombres,,
2020,24094,Hombres,,
2021,18825,Hombres,,
2022,17441,Hombres,,
2023,16262,Hombres,,
2008,8136,Mujeres,,
2009,8266,Mujeres,,
2010,8855,Mujeres,,
2011,8907,Mujeres,,
2012,8739,Mujeres,,
2013,9042,Mujeres,,
2014,9162,Mujeres,,
2015,9336,Mujeres,,
2016,9631,Mujeres,,
2017,9826,Mujeres,,
2018,9909,Mujeres,,
2019,10284,Mujeres,,
2020,15631,Mujeres,,
2021,13087,Mujeres,,
2022,11862,Mujeres,,
2023,11399,Mujeres,,
2008,21161,Total,,
2009,22289,Total,,
2010,25827,Total,,
2011,24060,Total,,
2012,22106,Total,,
2013,22235,Total,,
2014,22079,Total,,
2015,22357,Total,,
2016,23315,Total,,
2017,24021,Total,,
2018,25163,Total,,
2019,26164,Total,,
2020,39725,Total,,
2021,31912,Total,,
2022,29303,Total,,
2023,27661,Total,,
