sexo,year,total
Hombres,2008,8764
Hombres,2009,8935
Hombres,2010,9134
Hombres,2011,9180
Hombres,2012,9189
Hombres,2013,9699
Hombres,2014,9833
Hombres,2015,9957
Hombres,2016,10446
Hombres,2017,10630
Hombres,2018,10979
Hombres,2019,11667
Hombres,2020,19311
Hombres,2021,14718
Hombres,2022,13717
Hombres,2023,12247
Mujeres,2008,7475
Mujeres,2009,7616
Mujeres,2010,7744
Mujeres,2011,7997
Mujeres,2012,8004
Mujeres,2013,8367
Mujeres,2014,8548
Mujeres,2015,8688
Mujeres,2016,8944
Mujeres,2017,9039
Mujeres,2018,9162
Mujeres,2019,9473
Mujeres,2020,14789
Mujeres,2021,12228
Mujeres,2022,11044
Mujeres,2023,10572
